Numero de documentos del corpus: 4480
Numero de palabras del corpus: 373700
Palabra: abhi Frec: 1 LogProb: -12.276032382785074
Palabra: abhijeet Frec: 1 LogProb: -12.276032382785074
Palabra: abhinav Frec: 3 LogProb: -11.582885202225128
Palabra: abhishek Frec: 8 LogProb: -10.771954986008799
Palabra: abhista Frec: 0 LogProb: -12.969179563345019
Palabra: abhivriti Frec: 3 LogProb: -11.582885202225128
Palabra: abhiyaan Frec: 0 LogProb: -12.969179563345019
Palabra: abhiyanta Frec: 1 LogProb: -12.276032382785074
Palabra: abhiyogyata Frec: 1 LogProb: -12.276032382785074
Palabra: abhm Frec: 1 LogProb: -12.276032382785074
Palabra: abhor Frec: 1 LogProb: -12.276032382785074
Palabra: abhorrence Frec: 1 LogProb: -12.276032382785074
Palabra: abide Frec: 1 LogProb: -12.276032382785074
Palabra: abided Frec: 1 LogProb: -12.276032382785074
Palabra: abiding Frec: 2 LogProb: -11.870567274676908
Palabra: abie Frec: 3 LogProb: -11.582885202225128
Palabra: abies Frec: 0 LogProb: -12.969179563345019
Palabra: abigail Frec: 6 LogProb: -11.023269414289706
Palabra: abilities Frec: 12 LogProb: -10.404230205883481
Palabra: ability Frec: 129 LogProb: -8.101645112889436
Palabra: abiti Frec: 0 LogProb: -12.969179563345019
Palabra: abito Frec: 0 LogProb: -12.969179563345019
Palabra: abject Frec: 1 LogProb: -12.276032382785074
Palabra: abjection Frec: 1 LogProb: -12.276032382785074
Palabra: able Frec: 83 LogProb: -8.538362764501704
Palabra: ableconn Frec: 0 LogProb: -12.969179563345019
Palabra: abled Frec: 1 LogProb: -12.276032382785074
Palabra: ablity Frec: 0 LogProb: -12.969179563345019
Palabra: ably Frec: 2 LogProb: -11.870567274676908
Palabra: abnormal Frec: 6 LogProb: -11.023269414289706
Palabra: abnormality Frec: 0 LogProb: -12.969179563345019
Palabra: abo Frec: 0 LogProb: -12.969179563345019
Palabra: aboard Frec: 6 LogProb: -11.023269414289706
Palabra: abode Frec: 2 LogProb: -11.870567274676908
Palabra: abolished Frec: 1 LogProb: -12.276032382785074
Palabra: abolishes Frec: 0 LogProb: -12.969179563345019
Palabra: abominations Frec: 1 LogProb: -12.276032382785074
Palabra: abony Frec: 0 LogProb: -12.969179563345019
Palabra: aboriginal Frec: 1 LogProb: -12.276032382785074
Palabra: aborn Frec: 1 LogProb: -12.276032382785074
Palabra: abortion Frec: 15 LogProb: -10.196590841105238
Palabra: abortions Frec: 1 LogProb: -12.276032382785074
Palabra: abortive Frec: 1 LogProb: -12.276032382785074
Palabra: abound Frec: 1 LogProb: -12.276032382785074
Palabra: abounds Frec: 1 LogProb: -12.276032382785074
Palabra: abour Frec: 0 LogProb: -12.969179563345019
Palabra: aboutthefit Frec: 0 LogProb: -12.969179563345019
Palabra: aboutthis Frec: 0 LogProb: -12.969179563345019
Palabra: abovea Frec: 1 LogProb: -12.276032382785074
Palabra: aboveideal Frec: 1 LogProb: -12.276032382785074
Palabra: aboveled Frec: 0 LogProb: -12.969179563345019
Palabra: abp Frec: 0 LogProb: -12.969179563345019
Palabra: abpp Frec: 2 LogProb: -11.870567274676908
Palabra: abraham Frec: 13 LogProb: -10.33012223372976
Palabra: abrahams Frec: 1 LogProb: -12.276032382785074
Palabra: abrams Frec: 2 LogProb: -11.870567274676908
Palabra: abramson Frec: 1 LogProb: -12.276032382785074
Palabra: abrasion Frec: 0 LogProb: -12.969179563345019
Palabra: abrasive Frec: 0 LogProb: -12.969179563345019
Palabra: abrasives Frec: 0 LogProb: -12.969179563345019
Palabra: abreast Frec: 2 LogProb: -11.870567274676908
Palabra: abri Frec: 0 LogProb: -12.969179563345019
Palabra: abridged Frec: 5 LogProb: -11.177420094116963
Palabra: abridgement Frec: 1 LogProb: -12.276032382785074
Palabra: abridgment Frec: 2 LogProb: -11.870567274676908
Palabra: abridgments Frec: 1 LogProb: -12.276032382785074
Palabra: abrigrommetcurtains Frec: 0 LogProb: -12.969179563345019
Palabra: abro Frec: 0 LogProb: -12.969179563345019
Palabra: abroad Frec: 30 LogProb: -9.535192358859872
Palabra: abruptly Frec: 2 LogProb: -11.870567274676908
Palabra: abruzzi Frec: 6 LogProb: -11.023269414289706
Palabra: abs Frec: 5 LogProb: -11.177420094116963
Palabra: absactual Frec: 0 LogProb: -12.969179563345019
Palabra: absales Frec: 0 LogProb: -12.969179563345019
Palabra: absbearing Frec: 0 LogProb: -12.969179563345019
Palabra: abscolour Frec: 0 LogProb: -12.969179563345019
Palabra: abscompatibility Frec: 0 LogProb: -12.969179563345019
Palabra: absence Frec: 8 LogProb: -10.771954986008799
Palabra: absent Frec: 3 LogProb: -11.582885202225128
Palabra: absolute Frec: 16 LogProb: -10.135966219288802
Palabra: absolutebest Frec: 1 LogProb: -12.276032382785074
Palabra: absolutely Frec: 52 LogProb: -8.998887649792897
Palabra: absolutism Frec: 1 LogProb: -12.276032382785074
Palabra: absolutist Frec: 1 LogProb: -12.276032382785074
Palabra: absorb Frec: 7 LogProb: -10.889738021665183
Palabra: absorbable Frec: 0 LogProb: -12.969179563345019
Palabra: absorbance Frec: 0 LogProb: -12.969179563345019
Palabra: absorbed Frec: 5 LogProb: -11.177420094116963
Palabra: absorbency Frec: 0 LogProb: -12.969179563345019
Palabra: absorbent Frec: 1 LogProb: -12.276032382785074
Palabra: absorber Frec: 0 LogProb: -12.969179563345019
Palabra: absorbia Frec: 0 LogProb: -12.969179563345019
Palabra: absorbing Frec: 31 LogProb: -9.503443660545292
Palabra: absorbingly Frec: 2 LogProb: -11.870567274676908
Palabra: absorbs Frec: 4 LogProb: -11.359741650910918
Palabra: absorpt Frec: 0 LogProb: -12.969179563345019
Palabra: absorption Frec: 0 LogProb: -12.969179563345019
Palabra: absorptive Frec: 0 LogProb: -12.969179563345019
Palabra: absplusmetal Frec: 0 LogProb: -12.969179563345019
Palabra: absproduct Frec: 0 LogProb: -12.969179563345019
Palabra: absrobent Frec: 0 LogProb: -12.969179563345019
Palabra: abstinent Frec: 0 LogProb: -12.969179563345019
Palabra: abstract Frec: 5 LogProb: -11.177420094116963
Palabra: abstracted Frec: 1 LogProb: -12.276032382785074
Palabra: abstraction Frec: 1 LogProb: -12.276032382785074
Palabra: abstractions Frec: 1 LogProb: -12.276032382785074
Palabra: absurd Frec: 10 LogProb: -10.571284290546648
Palabra: absurdism Frec: 1 LogProb: -12.276032382785074
Palabra: absurdities Frec: 1 LogProb: -12.276032382785074
Palabra: absurdity Frec: 2 LogProb: -11.870567274676908
Palabra: absurdly Frec: 1 LogProb: -12.276032382785074
Palabra: abt Frec: 2 LogProb: -11.870567274676908
Palabra: abta Frec: 1 LogProb: -12.276032382785074
Palabra: abtrix Frec: 0 LogProb: -12.969179563345019
Palabra: abu Frec: 4 LogProb: -11.359741650910918
Palabra: abubaker Frec: 1 LogProb: -12.276032382785074
Palabra: abuela Frec: 2 LogProb: -11.870567274676908
Palabra: abul Frec: 1 LogProb: -12.276032382785074
Palabra: abundance Frec: 10 LogProb: -10.571284290546648
Palabra: abundant Frec: 5 LogProb: -11.177420094116963
Palabra: abundantly Frec: 1 LogProb: -12.276032382785074
Palabra: abuse Frec: 11 LogProb: -10.484272913557017
Palabra: abused Frec: 0 LogProb: -12.969179563345019
Palabra: abuses Frec: 5 LogProb: -11.177420094116963
Palabra: abusive Frec: 2 LogProb: -11.870567274676908
Palabra: abx Frec: 0 LogProb: -12.969179563345019
Palabra: abxy Frec: 0 LogProb: -12.969179563345019
Palabra: aby Frec: 0 LogProb: -12.969179563345019
Palabra: abyssinia Frec: 1 LogProb: -12.276032382785074
Palabra: abzorb Frec: 0 LogProb: -12.969179563345019
Palabra: abzorbt Frec: 0 LogProb: -12.969179563345019
Palabra: ac Frec: 3 LogProb: -11.582885202225128
Palabra: acacia Frec: 0 LogProb: -12.969179563345019
Palabra: acadamese Frec: 1 LogProb: -12.276032382785074
Palabra: academia Frec: 11 LogProb: -10.484272913557017
Palabra: academic Frec: 132 LogProb: -8.078830435123265
Palabra: academically Frec: 1 LogProb: -12.276032382785074
Palabra: academician Frec: 4 LogProb: -11.359741650910918
Palabra: academicians Frec: 1 LogProb: -12.276032382785074
Palabra: academics Frec: 9 LogProb: -10.666594470350972
Palabra: academies Frec: 5 LogProb: -11.177420094116963
Palabra: academy Frec: 106 LogProb: -8.296350728883112
Palabra: acadia Frec: 2 LogProb: -11.870567274676908
Palabra: acai Frec: 0 LogProb: -12.969179563345019
Palabra: acaro Frec: 0 LogProb: -12.969179563345019
Palabra: acc Frec: 1 LogProb: -12.276032382785074
Palabra: accdistribution Frec: 1 LogProb: -12.276032382785074
Palabra: accedental Frec: 0 LogProb: -12.969179563345019
Palabra: accelerate Frec: 2 LogProb: -11.870567274676908
Palabra: accelerated Frec: 3 LogProb: -11.582885202225128
Palabra: accelerates Frec: 0 LogProb: -12.969179563345019
Palabra: accelerating Frec: 5 LogProb: -11.177420094116963
Palabra: acceleration Frec: 1 LogProb: -12.276032382785074
Palabra: accelerator Frec: 4 LogProb: -11.359741650910918
Palabra: accelerometer Frec: 0 LogProb: -12.969179563345019
Palabra: accelerometers Frec: 0 LogProb: -12.969179563345019
Palabra: accent Frec: 12 LogProb: -10.404230205883481
Palabra: accented Frec: 0 LogProb: -12.969179563345019
Palabra: accenting Frec: 0 LogProb: -12.969179563345019
Palabra: accents Frec: 2 LogProb: -11.870567274676908
Palabra: accentuate Frec: 0 LogProb: -12.969179563345019
Palabra: accentuated Frec: 0 LogProb: -12.969179563345019
Palabra: accentuates Frec: 0 LogProb: -12.969179563345019
Palabra: accenture Frec: 2 LogProb: -11.870567274676908
Palabra: accept Frec: 19 LogProb: -9.973447289791027
Palabra: acceptable Frec: 1 LogProb: -12.276032382785074
Palabra: acceptance Frec: 21 LogProb: -9.878137109986703
Palabra: accepted Frec: 15 LogProb: -10.196590841105238
Palabra: accepting Frec: 4 LogProb: -11.359741650910918
Palabra: accepts Frec: 0 LogProb: -12.969179563345019
Palabra: accesories Frec: 0 LogProb: -12.969179563345019
