Numero de documentos del corpus: 7561
Numero de palabras del corpus: 546339
Palabra: abhi Frec: 0 LogProb: -13.30738960660541
Palabra: abhijeet Frec: 0 LogProb: -13.30738960660541
Palabra: abhinav Frec: 0 LogProb: -13.30738960660541
Palabra: abhishek Frec: 0 LogProb: -13.30738960660541
Palabra: abhista Frec: 1 LogProb: -12.614242426045465
Palabra: abhivriti Frec: 0 LogProb: -13.30738960660541
Palabra: abhiyaan Frec: 5 LogProb: -11.515630137377356
Palabra: abhiyanta Frec: 0 LogProb: -13.30738960660541
Palabra: abhiyogyata Frec: 0 LogProb: -13.30738960660541
Palabra: abhm Frec: 0 LogProb: -13.30738960660541
Palabra: abhor Frec: 0 LogProb: -13.30738960660541
Palabra: abhorrence Frec: 0 LogProb: -13.30738960660541
Palabra: abide Frec: 0 LogProb: -13.30738960660541
Palabra: abided Frec: 0 LogProb: -13.30738960660541
Palabra: abiding Frec: 0 LogProb: -13.30738960660541
Palabra: abie Frec: 0 LogProb: -13.30738960660541
Palabra: abies Frec: 2 LogProb: -12.208777317937301
Palabra: abigail Frec: 0 LogProb: -13.30738960660541
Palabra: abilities Frec: 4 LogProb: -11.69795169417131
Palabra: ability Frec: 40 LogProb: -9.593817539901103
Palabra: abiti Frec: 0 LogProb: -13.30738960660541
Palabra: abito Frec: 0 LogProb: -13.30738960660541
Palabra: abject Frec: 0 LogProb: -13.30738960660541
Palabra: abjection Frec: 0 LogProb: -13.30738960660541
Palabra: able Frec: 94 LogProb: -8.75351271500487
Palabra: ableconn Frec: 0 LogProb: -13.30738960660541
Palabra: abled Frec: 0 LogProb: -13.30738960660541
Palabra: ablity Frec: 0 LogProb: -13.30738960660541
Palabra: ably Frec: 0 LogProb: -13.30738960660541
Palabra: abnormal Frec: 5 LogProb: -11.515630137377356
Palabra: abnormality Frec: 1 LogProb: -12.614242426045465
Palabra: abo Frec: 1 LogProb: -12.614242426045465
Palabra: aboard Frec: 0 LogProb: -13.30738960660541
Palabra: abode Frec: 0 LogProb: -13.30738960660541
Palabra: abolished Frec: 0 LogProb: -13.30738960660541
Palabra: abolishes Frec: 1 LogProb: -12.614242426045465
Palabra: abominations Frec: 0 LogProb: -13.30738960660541
Palabra: abony Frec: 3 LogProb: -11.92109524548552
Palabra: aboriginal Frec: 0 LogProb: -13.30738960660541
Palabra: aborn Frec: 0 LogProb: -13.30738960660541
Palabra: abortion Frec: 0 LogProb: -13.30738960660541
Palabra: abortions Frec: 0 LogProb: -13.30738960660541
Palabra: abortive Frec: 0 LogProb: -13.30738960660541
Palabra: abound Frec: 0 LogProb: -13.30738960660541
Palabra: abounds Frec: 0 LogProb: -13.30738960660541
Palabra: abour Frec: 1 LogProb: -12.614242426045465
Palabra: aboutthefit Frec: 0 LogProb: -13.30738960660541
Palabra: aboutthis Frec: 2 LogProb: -12.208777317937301
Palabra: abovea Frec: 0 LogProb: -13.30738960660541
Palabra: aboveideal Frec: 0 LogProb: -13.30738960660541
Palabra: aboveled Frec: 0 LogProb: -13.30738960660541
Palabra: abp Frec: 1 LogProb: -12.614242426045465
Palabra: abpp Frec: 0 LogProb: -13.30738960660541
Palabra: abraham Frec: 0 LogProb: -13.30738960660541
Palabra: abrahams Frec: 0 LogProb: -13.30738960660541
Palabra: abrams Frec: 0 LogProb: -13.30738960660541
Palabra: abramson Frec: 0 LogProb: -13.30738960660541
Palabra: abrasion Frec: 13 LogProb: -10.668332276990151
Palabra: abrasive Frec: 28 LogProb: -9.940093776618937
Palabra: abrasives Frec: 1 LogProb: -12.614242426045465
Palabra: abreast Frec: 0 LogProb: -13.30738960660541
Palabra: abri Frec: 1 LogProb: -12.614242426045465
Palabra: abridged Frec: 0 LogProb: -13.30738960660541
Palabra: abridgement Frec: 0 LogProb: -13.30738960660541
Palabra: abridgment Frec: 0 LogProb: -13.30738960660541
Palabra: abridgments Frec: 0 LogProb: -13.30738960660541
Palabra: abrigrommetcurtains Frec: 1 LogProb: -12.614242426045465
Palabra: abro Frec: 2 LogProb: -12.208777317937301
Palabra: abroad Frec: 2 LogProb: -12.208777317937301
Palabra: abruptly Frec: 1 LogProb: -12.614242426045465
Palabra: abruzzi Frec: 0 LogProb: -13.30738960660541
Palabra: abs Frec: 240 LogProb: -7.822592673114755
Palabra: absactual Frec: 0 LogProb: -13.30738960660541
Palabra: absales Frec: 3 LogProb: -11.92109524548552
Palabra: absbearing Frec: 0 LogProb: -13.30738960660541
Palabra: abscolour Frec: 0 LogProb: -13.30738960660541
Palabra: abscompatibility Frec: 0 LogProb: -13.30738960660541
Palabra: absence Frec: 8 LogProb: -11.110165029269192
Palabra: absent Frec: 0 LogProb: -13.30738960660541
Palabra: absolute Frec: 31 LogProb: -9.841653703805685
Palabra: absolutebest Frec: 0 LogProb: -13.30738960660541
Palabra: absolutely Frec: 49 LogProb: -9.395366601177264
Palabra: absolutism Frec: 0 LogProb: -13.30738960660541
Palabra: absolutist Frec: 0 LogProb: -13.30738960660541
Palabra: absorb Frec: 57 LogProb: -9.246946596058992
Palabra: absorbable Frec: 1 LogProb: -12.614242426045465
Palabra: absorbance Frec: 1 LogProb: -12.614242426045465
Palabra: absorbed Frec: 10 LogProb: -10.90949433380704
Palabra: absorbency Frec: 24 LogProb: -10.088513781737209
Palabra: absorbent Frec: 141 LogProb: -8.35156254900415
Palabra: absorber Frec: 14 LogProb: -10.599339405503201
Palabra: absorbia Frec: 2 LogProb: -12.208777317937301
Palabra: absorbing Frec: 11 LogProb: -10.82248295681741
Palabra: absorbingly Frec: 0 LogProb: -13.30738960660541
Palabra: absorbs Frec: 57 LogProb: -9.246946596058992
Palabra: absorpt Frec: 1 LogProb: -12.614242426045465
Palabra: absorption Frec: 22 LogProb: -10.17189539067626
Palabra: absorptive Frec: 0 LogProb: -13.30738960660541
Palabra: absplusmetal Frec: 0 LogProb: -13.30738960660541
Palabra: absproduct Frec: 0 LogProb: -13.30738960660541
Palabra: absrobent Frec: 2 LogProb: -12.208777317937301
Palabra: abstinent Frec: 0 LogProb: -13.30738960660541
Palabra: abstract Frec: 31 LogProb: -9.841653703805685
Palabra: abstracted Frec: 0 LogProb: -13.30738960660541
Palabra: abstraction Frec: 0 LogProb: -13.30738960660541
Palabra: abstractions Frec: 0 LogProb: -13.30738960660541
Palabra: absurd Frec: 0 LogProb: -13.30738960660541
Palabra: absurdism Frec: 0 LogProb: -13.30738960660541
Palabra: absurdities Frec: 0 LogProb: -13.30738960660541
Palabra: absurdity Frec: 0 LogProb: -13.30738960660541
Palabra: absurdly Frec: 0 LogProb: -13.30738960660541
Palabra: abt Frec: 0 LogProb: -13.30738960660541
Palabra: abta Frec: 0 LogProb: -13.30738960660541
Palabra: abtrix Frec: 1 LogProb: -12.614242426045465
Palabra: abu Frec: 0 LogProb: -13.30738960660541
Palabra: abubaker Frec: 0 LogProb: -13.30738960660541
Palabra: abuela Frec: 0 LogProb: -13.30738960660541
Palabra: abul Frec: 0 LogProb: -13.30738960660541
Palabra: abundance Frec: 6 LogProb: -11.361479457550097
Palabra: abundant Frec: 0 LogProb: -13.30738960660541
Palabra: abundantly Frec: 0 LogProb: -13.30738960660541
Palabra: abuse Frec: 4 LogProb: -11.69795169417131
Palabra: abused Frec: 1 LogProb: -12.614242426045465
Palabra: abuses Frec: 0 LogProb: -13.30738960660541
Palabra: abusive Frec: 0 LogProb: -13.30738960660541
Palabra: abx Frec: 0 LogProb: -13.30738960660541
Palabra: abxy Frec: 0 LogProb: -13.30738960660541
Palabra: aby Frec: 0 LogProb: -13.30738960660541
Palabra: abyssinia Frec: 0 LogProb: -13.30738960660541
Palabra: abzorb Frec: 7 LogProb: -11.227948064925574
Palabra: abzorbt Frec: 1 LogProb: -12.614242426045465
Palabra: ac Frec: 281 LogProb: -7.665482535667297
Palabra: acacia Frec: 8 LogProb: -11.110165029269192
Palabra: acadamese Frec: 0 LogProb: -13.30738960660541
Palabra: academia Frec: 0 LogProb: -13.30738960660541
Palabra: academic Frec: 0 LogProb: -13.30738960660541
Palabra: academically Frec: 0 LogProb: -13.30738960660541
Palabra: academician Frec: 0 LogProb: -13.30738960660541
Palabra: academicians Frec: 0 LogProb: -13.30738960660541
Palabra: academics Frec: 0 LogProb: -13.30738960660541
Palabra: academies Frec: 0 LogProb: -13.30738960660541
Palabra: academy Frec: 0 LogProb: -13.30738960660541
Palabra: acadia Frec: 0 LogProb: -13.30738960660541
Palabra: acai Frec: 0 LogProb: -13.30738960660541
Palabra: acaro Frec: 1 LogProb: -12.614242426045465
Palabra: acc Frec: 0 LogProb: -13.30738960660541
Palabra: accdistribution Frec: 0 LogProb: -13.30738960660541
Palabra: accedental Frec: 0 LogProb: -13.30738960660541
Palabra: accelerate Frec: 2 LogProb: -12.208777317937301
Palabra: accelerated Frec: 1 LogProb: -12.614242426045465
Palabra: accelerates Frec: 3 LogProb: -11.92109524548552
Palabra: accelerating Frec: 0 LogProb: -13.30738960660541
Palabra: acceleration Frec: 0 LogProb: -13.30738960660541
Palabra: accelerator Frec: 0 LogProb: -13.30738960660541
Palabra: accelerometer Frec: 0 LogProb: -13.30738960660541
Palabra: accelerometers Frec: 0 LogProb: -13.30738960660541
Palabra: accent Frec: 40 LogProb: -9.593817539901103
Palabra: accented Frec: 2 LogProb: -12.208777317937301
